compiledRelease/buyer/id,compiledRelease/buyer/name,ID_cat,Nombre Categoría
DNCP-SICP-CODE-116,Municipalidad de Nueva Italia,Cat14,Muebles y Enseres
DNCP-SICP-CODE-211,Municipalidad de Ayolas,Cat14,Muebles y Enseres
DNCP-SICP-CODE-256,Municipalidad de San Estanislao,Cat14,Muebles y Enseres
DNCP-SICP-CODE-73,Municipalidad de Raúl Arsenio Oviedo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-238,Municipalidad de Gral. Bernardino Caballero,Cat14,Muebles y Enseres
DNCP-SICP-CODE-77,Gobierno Departamental de Misiones (MISIONES),Cat14,Muebles y Enseres
DNCP-SICP-CODE-68,Gobierno Departamental de Caazapá (CAAZAPÁ),Cat14,Muebles y Enseres
DNCP-SICP-CODE-38,Municipalidad de Yataity del Guairá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-284,Municipalidad de Tobatí,Cat14,Muebles y Enseres
DNCP-SICP-CODE-297,Honorable Cámara de Senadores,Cat14,Muebles y Enseres
DNCP-SICP-CODE-145,Instituto Nacional de Cooperativismo (INCOOP),Cat14,Muebles y Enseres
DNCP-SICP-CODE-102,Municipalidad de Mariano Roque Alonso,Cat14,Muebles y Enseres
DNCP-SICP-CODE-258,Municipalidad de San Pablo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-194,Municipalidad de Ybycui,Cat14,Muebles y Enseres
DNCP-SICP-CODE-302,Vicepresidencia de la República (VP),Cat14,Muebles y Enseres
DNCP-SICP-CODE-320,Municipalidad de Filadelfia,Cat14,Muebles y Enseres
DNCP-SICP-CODE-91,Gobierno Departamental de Presidente Hayes (PTE.HAYES),Cat14,Muebles y Enseres
DNCP-SICP-CODE-47,Municipalidad de Santa Fé del Paraná,Cat14,Muebles y Enseres
DNCP-SICP-CODE-254,Municipalidad de Lima,Cat14,Muebles y Enseres
DNCP-SICP-CODE-346,Municipalidad de Nueva Toledo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-114,Municipalidad de Fulgencio Yegros,Cat14,Muebles y Enseres
DNCP-SICP-CODE-272,Municipalidad de Eusebio Ayala,Cat14,Muebles y Enseres
DNCP-SICP-CODE-342,Ministerio de la Defensa Pública - Defensoría (MDP),Cat14,Muebles y Enseres
DNCP-SICP-CODE-348,Comisión Nac. de Prevención contra la Tortura y Otros Tratos,Cat14,Muebles y Enseres
DNCP-SICP-CODE-288,Municipalidad de Coronel Martínez,Cat14,Muebles y Enseres
DNCP-SICP-CODE-16,Municipalidad de Puerto Casado,Cat14,Muebles y Enseres
DNCP-SICP-CODE-234,Municipalidad de Minga Porá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-9,Municipalidad de José Falcón,Cat14,Muebles y Enseres
DNCP-SICP-CODE-8,Municipalidad de Nanawa,Cat14,Muebles y Enseres
DNCP-SICP-CODE-44,Municipalidad de Presidente Franco,Cat14,Muebles y Enseres
DNCP-SICP-CODE-69,Gobierno Departamental de Itapua (ITAPÚA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-126,Municipalidad de Yuty,Cat14,Muebles y Enseres
DNCP-SICP-CODE-92,Gobierno Departamental de Alto Paraguay (GOBALTOPY),Cat14,Muebles y Enseres
DNCP-SICP-CODE-257,Municipalidad de Escobar,Cat14,Muebles y Enseres
DNCP-SICP-CODE-24,Tribunal Superior de Justicia Electoral (TSJE),Cat14,Muebles y Enseres
DNCP-SICP-CODE-95,Municipalidad de Mbuyapey,Cat14,Muebles y Enseres
DNCP-SICP-CODE-233,Municipalidad de Minga Guazú,Cat14,Muebles y Enseres
DNCP-SICP-CODE-216,Municipalidad de Santa María,Cat14,Muebles y Enseres
DNCP-SICP-CODE-149,Municipalidad de Guazu Cuá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-349,Municipalidad de 3 de Mayo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-165,Municipalidad de Villa Franca,Cat14,Muebles y Enseres
DNCP-SICP-CODE-33,Municipalidad de Natalicio Talavera,Cat14,Muebles y Enseres
DNCP-SICP-CODE-86,Municipalidad de Yhú,Cat14,Muebles y Enseres
DNCP-SICP-CODE-160,Municipalidad de Hohenau,Cat14,Muebles y Enseres
DNCP-SICP-CODE-235,Municipalidad de Naranjal,Cat14,Muebles y Enseres
DNCP-SICP-CODE-87,Gobierno Departamental de Amambay (AMAMBAY),Cat14,Muebles y Enseres
DNCP-SICP-CODE-255,Municipalidad de Nueva Germania,Cat14,Muebles y Enseres
DNCP-SICP-CODE-352,Direccion Nacional de Propiedad Intelectual (DINAPI),Cat14,Muebles y Enseres
DNCP-SICP-CODE-43,Cañas Paraguayas S.A. (CAPASA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-285,Municipalidad de Valenzuela,Cat14,Muebles y Enseres
DNCP-SICP-CODE-59,Municipalidad de José Domingo Ocampos,Cat14,Muebles y Enseres
DNCP-SICP-CODE-82,Gobierno Departamental de Ñeembucú (ÑEEMBUCÚ),Cat14,Muebles y Enseres
DNCP-SICP-CODE-212,Municipalidad de San Ignacio,Cat14,Muebles y Enseres
DNCP-SICP-CODE-62,Gobierno Departamental de Caaguazú (CAAGUAZÚ),Cat14,Muebles y Enseres
DNCP-SICP-CODE-74,Municipalidad de Repatriación,Cat14,Muebles y Enseres
DNCP-SICP-CODE-274,Municipalidad de Itacurubí de las Cordilleras,Cat14,Muebles y Enseres
DNCP-SICP-CODE-379,Instituto Nacional de Estadística (INE),Cat14,Muebles y Enseres
DNCP-SICP-CODE-78,Gobierno Departamental de Paraguarí (PARAGUARÍ),Cat14,Muebles y Enseres
DNCP-SICP-CODE-327,Municipalidad de Tebicuary,Cat14,Muebles y Enseres
DNCP-SICP-CODE-359,Agencia Nacional de Transito y Seguridad Vial (ANTSV),Cat14,Muebles y Enseres
DNCP-SICP-CODE-98,Gobierno Departamental de Boquerón,Cat14,Muebles y Enseres
DNCP-SICP-CODE-259,Municipalidad de San Pedro del Ycuamandiyú,Cat14,Muebles y Enseres
DNCP-SICP-CODE-239,Municipalidad de San Lázaro,Cat14,Muebles y Enseres
DNCP-SICP-CODE-351,Municipalidad de Dr. Raul Peña,Cat14,Muebles y Enseres
DNCP-SICP-CODE-290,Municipalidad de Félix Pérez Cardozo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-328,Municipalidad de Tembiapora,Cat14,Muebles y Enseres
DNCP-SICP-CODE-360,Consejo Nacional de Educación Superior (CONES),Cat14,Muebles y Enseres
DNCP-SICP-CODE-147,Municipalidad de Desmochados,Cat14,Muebles y Enseres
DNCP-SICP-CODE-350,Municipalidad de Ybyrarobana,Cat14,Muebles y Enseres
DNCP-SICP-CODE-41,Municipalidad de Ñemby,Cat14,Muebles y Enseres
DNCP-SICP-CODE-283,Municipalidad de Santa Elena,Cat14,Muebles y Enseres
DNCP-SICP-CODE-244,Municipalidad de Carapeguá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-363,Autoridad Reguladora Radiologica y Nuclear (ARRN),Cat14,Muebles y Enseres
DNCP-SICP-CODE-265,Municipalidad de Yrybucuá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-295,Municipalidad de José Fassardi,Cat14,Muebles y Enseres
DNCP-SICP-CODE-344,Municipalidad de Zanja Pyta,Cat14,Muebles y Enseres
DNCP-SICP-CODE-282,Municipalidad de San José Obrero,Cat14,Muebles y Enseres
DNCP-SICP-CODE-76,Municipalidad de San José de los Arroyos,Cat14,Muebles y Enseres
DNCP-SICP-CODE-199,Municipalidad de Hernandarias,Cat14,Muebles y Enseres
DNCP-SICP-CODE-5,Municipalidad de Yasy Cañy,Cat14,Muebles y Enseres
DNCP-SICP-CODE-17,Municipalidad de Mcal Jose Félix Estigarribia,Cat14,Muebles y Enseres
DNCP-SICP-CODE-46,Municipalidad de San Cristobal,Cat14,Muebles y Enseres
DNCP-SICP-CODE-280,Municipalidad de Primero de Marzo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-278,Municipalidad de Nueva Colombia,Cat14,Muebles y Enseres
DNCP-SICP-CODE-362,Comisión Nacional de Competencia (CONACOM),Cat14,Muebles y Enseres
DNCP-SICP-CODE-166,Municipalidad de Villa Oliva,Cat14,Muebles y Enseres
DNCP-SICP-CODE-319,Municipalidad de Bahía Negra,Cat14,Muebles y Enseres
DNCP-SICP-CODE-243,Municipalidad de Loreto,Cat14,Muebles y Enseres
DNCP-SICP-CODE-245,Municipalidad de Yby Yaú,Cat14,Muebles y Enseres
DNCP-SICP-CODE-268,Municipalidad de Atyra,Cat14,Muebles y Enseres
DNCP-SICP-CODE-246,Municipalidad de 25 de Diciembre,Cat14,Muebles y Enseres
DNCP-SICP-CODE-353,Secretaria de Defensa del Consumidor y el Usuario (SEDECO),Cat14,Muebles y Enseres
DNCP-SICP-CODE-67,Municipalidad de Guarambaré,Cat14,Muebles y Enseres
DNCP-SICP-CODE-4,Municipalidad de Villa Ygatimí,Cat14,Muebles y Enseres
DNCP-SICP-CODE-341,Municipalidad de Azotey,Cat14,Muebles y Enseres
DNCP-SICP-CODE-270,Municipalidad de Caraguatay,Cat14,Muebles y Enseres
DNCP-SICP-CODE-271,Municipalidad de Emboscada,Cat14,Muebles y Enseres
DNCP-SICP-CODE-364,Municipalidad de Karapai,Cat14,Muebles y Enseres
